Theta, Alpha, Low_beta, High_beta, Gamma
3,18970,2039.77,1358.44,940.529,366.658,
16,34.2489,7.56347,5.63913,6.22726,14.7076,
7,13.1025,3.63353,1.71211,1.07427,0.418669,
12,20.2111,5.80953,2.67095,1.64845,7.07938,
9,12.7939,3.14951,2.18741,2.51541,1.08767,
3,19.4178,4.98005,2.22512,1.44569,0.659827,
16,34.2489,7.56347,5.63913,6.22726,14.7076,
7,13.1025,3.63353,1.71211,1.07427,0.418669,
12,20.2111,5.80953,2.67095,1.64845,7.07938,
9,12.7939,3.14951,2.18741,2.51541,1.08767,
3,19.4178,4.98005,2.22512,1.44569,0.659827,
16,34.2489,7.56347,5.63913,6.22726,14.7076,
7,13.1025,3.63353,1.71211,1.07427,0.418669,
12,20.2111,5.80953,2.67095,1.64845,7.07938,
9,12.7939,3.14951,2.18741,2.51541,1.08767,
3,19.4178,4.98005,2.22512,1.44569,0.659827,
16,34.2489,7.56347,5.63913,6.22726,14.7076,
7,13.1025,3.63353,1.71211,1.07427,0.418669,
12,20.2111,5.80953,2.67095,1.64845,7.07938,
9,12.7939,3.14951,2.18741,2.51541,1.08767,
3,19.4178,4.98005,2.22512,1.44569,0.659827,
16,34.2489,7.56347,5.63913,6.22726,14.7076,
7,13.1025,3.63353,1.71211,1.07427,0.418669,
12,20.2111,5.80953,2.67095,1.64845,7.07938,
9,12.7939,3.14951,2.18741,2.51541,1.08767,
3,19.4178,4.98005,2.22512,1.44569,0.659827,
16,34.2489,7.56347,5.63913,6.22726,14.7076,
7,13.1025,3.63353,1.71211,1.07427,0.418669,
12,20.2111,5.80953,2.67095,1.64845,7.07938,
9,12.7939,3.14951,2.18741,2.51541,1.08767,
3,19.4178,4.98005,2.22512,1.44569,0.659827,
16,34.2489,7.56347,5.63913,6.22726,14.7076,
7,13.1025,3.63353,1.71211,1.07427,0.418669,
12,20.2111,5.80953,2.67095,1.64845,7.07938,
9,12.7939,3.14951,2.18741,2.51541,1.08767,
3,19.4178,4.98005,2.22512,1.44569,0.659827,
16,34.2489,7.56347,5.63913,6.22726,14.7076,
7,13.1025,3.63353,1.71211,1.07427,0.418669,
12,20.2111,5.80953,2.67095,1.64845,7.07938,
9,12.7939,3.14951,2.18741,2.51541,1.08767,
3,19.4178,4.98005,2.22512,1.44569,0.659827,
16,34.2489,7.56347,5.63913,6.22726,14.7076,
7,13.1025,3.63353,1.71211,1.07427,0.418669,
12,20.2111,5.80953,2.67095,1.64845,7.07938,
9,12.7939,3.14951,2.18741,2.51541,1.08767,
3,19.4178,4.98005,2.22512,1.44569,0.659827,
16,34.2489,7.56347,5.63913,6.22726,14.7076,
7,13.1025,3.63353,1.71211,1.07427,0.418669,
12,20.2111,5.80953,2.67095,1.64845,7.07938,
9,12.7939,3.14951,2.18741,2.51541,1.08767,
3,19.4178,4.98005,2.22512,1.44569,0.659827,
16,34.2489,7.56347,5.63913,6.22726,14.7076,
7,13.1025,3.63353,1.71211,1.07427,0.418669,
12,20.2111,5.80953,2.67095,1.64845,7.07938,
9,12.7939,3.14951,2.18741,2.51541,1.08767,
3,19.4178,4.98005,2.22512,1.44569,0.659827,
16,34.2489,7.56347,5.63913,6.22726,14.7076,
7,13.1025,3.63353,1.71211,1.07427,0.418669,
12,20.2111,5.80953,2.67095,1.64845,7.07938,
9,12.7939,3.14951,2.18741,2.51541,1.08767,
